LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
GBR,CLI,AMPLITUD,LTRENDIDX,M,1957-12,98.1181,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-01,98.14436,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-02,98.21921,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-03,98.32909,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-04,98.45986,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-05,98.61917,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-06,98.82661,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-07,99.10078,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-08,99.41299,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-09,99.73341,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-10,100.0237,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-11,100.2459,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-12,100.3554,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-01,100.3377,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-02,100.2423,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-03,100.1266,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-04,100.03,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-05,99.94881,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-06,99.95863,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-07,100.1098,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-08,100.4564,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-09,101.014,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-10,101.6287,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-11,102.1283,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-12,102.4012,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-01,102.3857,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-02,102.1444,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-03,101.7965,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-04,101.422,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-05,101.0837,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-06,100.8106,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-07,100.6114,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-08,100.4834,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-09,100.3998,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-10,100.3342,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-11,100.294,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-12,100.2957,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-01,100.3247,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-02,100.3464,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-03,100.2944,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-04,100.1237,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-05,99.83936,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-06,99.44426,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-07,98.94907,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-08,98.42329,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-09,97.97594,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-10,97.67863,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-11,97.55035,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-12,97.53993,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-01,97.60057,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-02,97.70927,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-03,97.86086,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-04,98.05077,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-05,98.22643,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-06,98.3655,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-07,98.51756,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-08,98.70285,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-09,98.89359,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-10,99.08449,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-11,99.2562,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-12,99.40472,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-01,99.54894,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-02,99.72459,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-03,99.93805,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-04,100.1673,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-05,100.3833,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-06,100.5845,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-07,100.8089,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-08,101.0397,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-09,101.2508,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-10,101.4081,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-11,101.4793,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-12,101.4773,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-01,101.4151,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-02,101.3157,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-03,101.2238,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-04,101.1807,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-05,101.186,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-06,101.2379,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-07,101.2874,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-08,101.2935,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-09,101.2142,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-10,101.0148,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-11,100.7166,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1964-12,100.3678,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-01,100.0397,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-02,99.75235,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-03,99.48273,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-04,99.23178,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-05,99.04771,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-06,98.95358,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-07,98.9396,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-08,99.0064,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-09,99.15148,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-10,99.36124,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-11,99.6088,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1965-12,99.87157,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-01,100.1129,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-02,100.2956,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-03,100.3749,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-04,100.2879,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-05,99.97471,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-06,99.43687,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-07,98.72792,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-08,97.9519,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-09,97.28234,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-10,96.82185,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-11,96.62805,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1966-12,96.69781,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-01,96.97897,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-02,97.37212,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-03,97.84613,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-04,98.38014,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-05,98.9213,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-06,99.41305,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-07,99.81663,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-08,100.1395,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-09,100.3807,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-10,100.5231,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-11,100.5612,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1967-12,100.5061,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-01,100.3997,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-02,100.257,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-03,100.0878,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-04,99.94199,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-05,99.89616,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-06,99.94402,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-07,100.0991,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-08,100.3058,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-09,100.4784,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-10,100.5661,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-11,100.5273,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1968-12,100.3573,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-01,100.0958,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-02,99.80953,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-03,99.53255,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-04,99.26752,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-05,98.97846,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-06,98.68559,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-07,98.41222,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-08,98.17212,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-09,97.95174,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-10,97.77348,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-11,97.67815,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1969-12,97.7149,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-01,97.85139,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-02,98.02317,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-03,98.16891,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-04,98.24975,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-05,98.25582,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-06,98.21587,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-07,98.13908,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-08,98.04877,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-09,97.9835,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-10,97.9469,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-11,97.94991,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1970-12,98.00716,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-01,98.11938,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-02,98.31043,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-03,98.60458,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-04,99.01092,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-05,99.49794,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-06,100.0519,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-07,100.6633,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-08,101.2796,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-09,101.8749,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-10,102.421,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-11,102.9032,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1971-12,103.3115,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-01,103.622,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-02,103.8679,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-03,104.0783,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-04,104.2203,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-05,104.2321,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-06,104.0948,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-07,103.8762,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-08,103.6531,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-09,103.4608,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-10,103.3216,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-11,103.2041,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1972-12,103.0801,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-01,102.9345,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-02,102.7894,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-03,102.6553,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-04,102.5225,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-05,102.3664,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-06,102.1544,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-07,101.8447,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-08,101.413,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-09,100.8568,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-10,100.2206,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-11,99.513,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1973-12,98.77636,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-01,98.11299,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-02,97.61695,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-03,97.24912,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-04,96.96372,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-05,96.72184,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-06,96.45585,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-07,96.12158,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-08,95.75701,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-09,95.42213,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-10,95.15516,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-11,95.03786,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1974-12,95.14818,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-01,95.50563,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-02,95.96472,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-03,96.45797,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-04,96.93391,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-05,97.37103,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-06,97.74628,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-07,98.0497,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-08,98.31107,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-09,98.58443,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-10,98.84157,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-11,99.13971,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1975-12,99.47791,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-01,99.82471,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-02,100.1267,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-03,100.3506,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-04,100.457,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-05,100.4165,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-06,100.2472,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-07,100.0048,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-08,99.72586,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-09,99.46573,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-10,99.29897,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-11,99.24622,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1976-12,99.28075,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-01,99.40602,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-02,99.63758,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-03,99.93374,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-04,100.2887,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-05,100.6772,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-06,101.0667,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-07,101.4534,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-08,101.7849,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-09,102.0545,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-10,102.2298,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-11,102.2863,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1977-12,102.2498,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-01,102.155,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-02,102.0209,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-03,101.8831,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-04,101.7618,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-05,101.6861,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-06,101.6716,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-07,101.6758,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-08,101.664,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-09,101.6037,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-10,101.4801,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-11,101.3527,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1978-12,101.2938,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-01,101.3314,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-02,101.459,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-03,101.6354,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-04,101.7518,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-05,101.6989,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-06,101.4256,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-07,100.9655,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-08,100.4876,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-09,100.0785,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-10,99.73775,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-11,99.42159,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1979-12,99.12576,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-01,98.84975,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-02,98.58439,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-03,98.31232,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-04,98.035,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-05,97.81139,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-06,97.64394,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-07,97.52448,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-08,97.46482,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-09,97.5029,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-10,97.6174,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-11,97.82198,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1980-12,98.10396,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-01,98.43787,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-02,98.78135,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-03,99.09635,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-04,99.31906,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-05,99.40298,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-06,99.35455,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-07,99.22445,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-08,99.04995,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-09,98.89307,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-10,98.76321,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-11,98.66257,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1981-12,98.58878,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-01,98.56953,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-02,98.62993,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-03,98.7242,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-04,98.80833,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-05,98.89604,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-06,99.02084,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-07,99.19682,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-08,99.4073,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-09,99.63515,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-10,99.86819,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-11,100.0574,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1982-12,100.2101,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-01,100.3516,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-02,100.4888,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-03,100.6399,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-04,100.7959,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-05,100.9416,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-06,101.0722,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-07,101.164,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-08,101.2004,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-09,101.184,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-10,101.1672,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-11,101.1443,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1983-12,101.1178,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-01,101.083,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-02,101.0213,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-03,100.9081,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-04,100.7449,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-05,100.5145,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-06,100.2468,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-07,99.99811,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-08,99.84277,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-09,99.81482,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-10,99.83043,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-11,99.8597,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1984-12,99.87177,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-01,99.86036,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-02,99.77351,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-03,99.6852,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-04,99.60432,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-05,99.53802,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-06,99.49969,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-07,99.49279,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-08,99.51643,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-09,99.54797,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-10,99.57946,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-11,99.59561,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1985-12,99.5928,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-01,99.57269,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-02,99.56452,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-03,99.58774,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-04,99.64074,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-05,99.687,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-06,99.72775,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-07,99.75549,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-08,99.77737,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-09,99.80922,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-10,99.88367,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-11,100.0213,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1986-12,100.2313,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-01,100.5214,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-02,100.8734,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-03,101.2416,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-04,101.6094,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-05,101.9423,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-06,102.1888,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-07,102.3157,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-08,102.3356,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-09,102.2778,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-10,102.1591,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-11,102.0231,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1987-12,101.9099,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1988-01,101.825,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1988-02,101.7688,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1988-03,101.7418,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1988-04,101.7373,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1988-05,101.7316,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1988-06,101.6802,
